x;y
1320;133
1309;154
1300;179
1296;190
1286;214
1281;222
1272;243
1263;263
1253;284
1245;303
1239;312
1230;329
1219;347
1216;355
1205;371
1197;389
1193;396
1182;411
1173;425
1169;431
1158;447
1153;454
1143;467
1134;479
1123;491
1121;496
1109;507
1107;511
1098;517
1095;524
1091;526
1088;534
1081;537
1077;543
1072;545
1068;550
1062;552
1056;557
1050;560
1048;563
1037;573
1032;573
1023;578
1014;582
1003;588
997;589
988;592
984;595
974;596
963;598
959;598
951;600
941;601
930;601
926;601
916;600
906;597
902;598
891;595
882;593
877;591
870;589
864;588
854;581
845;576
835;570
831;567
815;555
806;548
801;546
796;540
792;538
785;533
782;530
778;525
772;520
768;515
764;511
760;505
754;498
744;489
739;484
730;471
723;459
717;450
708;438
700;425
690;410
686;402
676;388
667;371
665;362
656;346
645;330
637;311
632;304
623;284
616;265
610;257
603;236
597;225
591;206
582;184
574;160
565;140
561;131
552;106
